STUDYID,DOMAIN,USUBJID,PUID,COHORT,SUBJID,POOLID,PRSEQ,FOCID,PRGRPID,PRSPID,PRLNKID,PRLNKGRP,PRTRT,PRDECOD,PRCAT,PRSCAT,PRPRESP,PROCCUR,PRINDC,PRDOSE,PRDOSTXT,PRDOSU,PRDOSFRM,PRDOSFRQ,PRDOSRGM,PRROUTE,PRLOC,PRLAT,PRDIR,PRPORTOT,VISITNUM,VISITDY,TAETORD,EPOCH,PRSTDTC,PRENDTC,PRSTDY,PRENDY,PRDUR,PRTPT,PRTPTNUM,PRELTM,PRTPTREF,PRRFTDTC,PRSTRTPT,PRSTTPT,PRENRTPT,PRENTPT
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0022,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-20,2012-01-20,45,45,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0023,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-23,2012-01-23,48,48,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0024,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-24,2012-01-24,49,49,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0025,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-25,2012-01-25,50,50,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0026,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-26,2012-01-26,51,51,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0027,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-27,2012-01-27,52,52,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0028,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-30,2012-01-30,55,55,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0029,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-31,2012-01-31,56,56,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.003,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-02-01,2012-02-01,57,57,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a003,N150,a,3,,8.0,,,,,,XRAY;PHOTON,TOTAL BODY IRRADIATION,TBI; Whole Body Irradiation,,Y,Y,,4.0,,Gy,,ONCE,,,BODY,BILATERAL,,ENTIRE,,,,,2011-12-02,2011-12-02,-4,-4,1,,,,,,,,,
